expanded_id,batch_id,run_id,query_version,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason,documentary_signal,actionable_signal,expanded_possible_score,queue_reason,screening_decision
X151,B04,20260831T003810Z,1.0.0,"""designing conversational agents""",OpenAlex,https://openalex.org/W3043660278,https://doi.org/10.1109/vl/hcc50065.2020.9127276,Towards Designing Conversational Agents for Pair Programming: Accounting for Creativity Strategies and Conversational Styles,2020,Sandeep Kaur Kuttal; Jarow Myers; Sam Gurka; David Magar; David Piorkowski; Rachel Bellamy,conference-paper,"Established research on pair programming reveals benefits, including increasing communication, creativity, self-efficacy, and promoting gender inclusivity. However, research has reported limitations such as finding a compatible partner, scheduling sessions between partners, and resistance to pairing. Further, pairings can be affected by predispositions to negative stereotypes. These problems can be addressed by replacing one human member of the pair with a conversational agent. To investigate the design space of such a conversational agent, we conducted a controlled remote pair programming study. Our analysis found various creative problem-solving strategies and differences in conversational styles. We further analyzed the transferable strategies from human-human collaboration to human-agent collaboration by conducting a Wizard of Oz study. The findings from the two studies helped us gain insights regarding design of a programmer conversational agent. We make recommendations for researchers and practitioners for designing pair programming conversational agent tools.",https://doi.org/10.1109/vl/hcc50065.2020.9127276,,,closed,4,5,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,1,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X152,B04,20260831T003810Z,1.0.0,"""designing conversational agents""",OpenAlex,https://openalex.org/W2907049732,https://doi.org/10.1145/3287048,FarmChat,2018,Mohit Jain; Pratyush Kumar; Ishita Bhansali; Q. Vera Liao; Khai N. Truong; Shwetak Patel,article,"Farmers constitute 54.6% of the Indian population, but earn only 13.9% of the national GDP. This gross mismatch can be alleviated by improving farmers' access to information and expert advice (e.g., knowing which seeds to sow and how to treat pests can significantly impact yield). In this paper, we report our experience of designing a conversational agent, called FarmChat, to meet the information needs of farmers in rural India. We conducted an evaluative study with 34 farmers near Ranchi in India, focusing on assessing the usability of the system, acceptability of the information provided, and understanding the user population's unique preferences, needs, and challenges in using the technology. We performed a comparative study with two different modalities: audio-only and audio+text. Our results provide a detailed understanding on how literacy level, digital literacy, and other factors impact users' preferences for the interaction modality. We found that a conversational agent has the potential to effectively meet the information needs of farmers at scale. More broadly, our results could inform future work on designing conversational agents for user populations with limited literacy and technology experience.",https://doi.org/10.1145/3287048,,,closed,3,6,sistema=2;produto-design=3,screening-required,Automação não substitui leitura ontológica.,1,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X153,B04,20260831T003810Z,1.0.0,"""designing conversational agents""",OpenAlex,https://openalex.org/W3177181326,https://doi.org/10.1145/3459990.3460730,"“Alexa, Can I Program You?”: Student Perceptions of Conversational Artificial Intelligence Before and After Programming Alexa",2021,Jessica Van Brummelen; Viktoriya Tabunshchyk; Tommy Heng,conference-paper,"Growing up in an artificial intelligence-filled world, with Siri and Amazon Alexa often within arm’s—or speech’s—reach, could have significant impact on children. Conversational agents could influence how students anthropomorphize computer systems or develop a theory of mind. Previous research has explored how conversational agents are used and perceived by children within and outside of learning contexts. This study investigates how middle and high school students’ perceptions of Alexa change through programming their own conversational agents in week-long AI education workshops. Specifically, we investigate the workshops’ influence on student perceptions of Alexa’s intelligence, friendliness, aliveness, safeness, trustworthiness, human-likeness, and feelings of closeness. We found that students felt Alexa was more intelligent and felt closer to Alexa after the workshops. We also found strong correlations between students’ perceptions of Alexa’s friendliness and trustworthiness, and safeness and trustworthiness. We recommend designers carefully consider personification, transparency, playfulness and utility when designing conversational agents for learning contexts.",https://doi.org/10.1145/3459990.3460730,https://dl.acm.org/doi/pdf/10.1145/3459990.3460730,cc-by,hybrid,3,5,sistema=2;produto-design=2,screening-required,Automação não substitui leitura ontológica.,2,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X154,B04,20260831T003810Z,1.0.0,"""designing conversational agents""",OpenAlex,https://openalex.org/W4412035673,https://doi.org/10.1145/3715336.3735716,Beyond ‘What’s This?’: Designing Conversational Agents to Support Children's Inquiry and Engagement in Exhibits,2025,Sohyun Park; Won‐Young Lee; Sangjun Lee; Woohun Lee,conference-paper,"Figure 1: An illustration showcasing the typical dialogue patterns between the child and the agent across the three conditions of HelloCuriosity, a system designed to investigate how agents support children's inquiry in exhibits AbstractCompetent responders to children's questions foster high-quality inquiry.While conversational agents (CAs) have been explored in various roles to support questioning, little research has examined how different agent responses shape inquiry.Children engage in exhibits not only with agents but also with surrounding objects, requiring CAs to support both inquiry and behavioral engagement-an aspect that remains underexplored.We conducted a comparative user study (N=36, ages 6-12) examining three agent types modeled after insights from our formative study: a reactive responder, a facilitative responder, and an active peer.Findings",https://doi.org/10.1145/3715336.3735716,https://dl.acm.org/doi/pdf/10.1145/3715336.3735716,cc-by,gold,4,5,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,2,1,8,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X155,B04,20260831T003810Z,1.0.0,"""designing conversational agents""",OpenAlex,https://openalex.org/W4312223248,https://doi.org/10.1038/s41598-022-27124-8,"The role of valence, dominance, and pitch in perceptions of artificial intelligence (AI) conversational agents’ voices",2022,Victor Kenji Medeiros Shiramizu; Anthony J. Lee; Daria Altenburg; David R. Feinberg; Benedict C. Jones,article,"There is growing concern that artificial intelligence conversational agents (e.g., Siri, Alexa) reinforce voice-based social stereotypes. Because little is known about social perceptions of conversational agents' voices, we investigated (1) the dimensions that underpin perceptions of these synthetic voices and (2) the role that acoustic parameters play in these perceptions. Study 1 (N = 504) found that perceptions of synthetic voices are underpinned by Valence and Dominance components similar to those previously reported for natural human stimuli and that the Dominance component was strongly and negatively related to voice pitch. Study 2 (N = 160) found that experimentally manipulating pitch in synthetic voices directly influenced dominance-related, but not valence-related, perceptions. Collectively, these results suggest that greater consideration of the role that voice pitch plays in dominance-related perceptions when designing conversational agents may be an effective method for controlling stereotypic perceptions of their voices and the downstream consequences of those perceptions.",https://doi.org/10.1038/s41598-022-27124-8,https://www.nature.com/articles/s41598-022-27124-8.pdf,cc-by,gold,3,4,sistema=2;produto-design=1,screening-required,Automação não substitui leitura ontológica.,2,1,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X156,B04,20260831T003810Z,1.0.0,"""designing conversational agents""",OpenAlex,https://openalex.org/W2975028745,https://doi.org/10.48550/arxiv.1909.13443,Using Conversational Agents To Support Learning By Teaching,2019,Nalin Chhibber; Edith Law,preprint,"Conversational agents are becoming increasingly popular for supporting and facilitating learning. Conventional pedagogical agents are designed to play the role of human teachers by giving instructions to the students. In this paper, we investigate the use of conversational agents to support the 'learning-by-teaching' paradigm where the agent receives instructions from students. In particular, we introduce Curiosity Notebook: an educational application that harvests conversational interventions to facilitate students' learning. Recognizing such interventions can not only help in engaging students within learning interactions, but also provide a deeper insight into the intricacies involved in designing conversational agents for educational purposes.",http://arxiv.org/abs/1909.13443,https://arxiv.org/pdf/1909.13443,,green,3,5,sistema=2;produto-design=2,screening-required,Automação não substitui leitura ontológica.,2,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X157,B04,20260831T003810Z,1.0.0,"""designing conversational agents""",OpenAlex,https://openalex.org/W3128474827,https://doi.org/10.1145/3421937.3422024,Designing Everyday Conversational Agents for Managing Health and Wellness,2020,Ji Youn Shin; Jina Huh,conference-paper,"Conversational agents have been developed for supporting a wide array of areas, including autonomous vehicles, decision making, and health behavior change. In the last few years, conversational agents increasingly became available as everyday technologies. This phenomenon enables opportunities for finding novel ways to support health and wellness in everyday contexts. By conducting a content analysis of 433 user reviews of Amazon Alexa's Skills, the goal of this study is two-fold: (1) Extract users' perceived strengths of conversational agents in everyday health and wellness management, (2) develop design heuristics for developing conversational agents for health and wellness. We found that the role of trustworthy content providers is critical during the adoption. The Skills enabled people to overcome logistical barriers to improving daily health and wellness routines. The findings also revealed the importance of transparency in the limitations of the Skill and how to better design command dialogues. We present the design heuristics of conversational agents, building on Nielsen's Usability Heuristics, and discuss implications for designing conversational agents that support health and wellness.",https://doi.org/10.1145/3421937.3422024,https://dl.acm.org/doi/pdf/10.1145/3421937.3422024,,gold,3,6,sistema=2;produto-design=3,screening-required,Automação não substitui leitura ontológica.,2,1,9,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X158,B04,20260831T003810Z,1.0.0,"""designing conversational agents""",OpenAlex,https://openalex.org/W2990993838,https://doi.org/10.1177/1071181319631333,How analysts think: A preliminary study of human needs and demands for AI-based conversational agents,2019,Sam Hepenstal; B. L. William Wong; Leishi Zhang; Neesha Kodogoda,article,"For conversational agents to provide benefit to intelligence analysis they need to be able to recognise and respond to the analysts intentions. Furthermore, they must provide transparency to their algorithms and be able to adapt to new situations and lines of inquiry. We present a preliminary analysis as a first step towards developing conversational agents for intelligence analysis: that of understanding and modeling analyst intentions so they can be recognised by conversational agents. We describe in-depth interviews conducted with experienced intelligence analysts and implications for designing conversational agent intentions.",https://doi.org/10.1177/1071181319631333,https://journals.sagepub.com/doi/pdf/10.1177/1071181319631333,,bronze,3,4,sistema=2;produto-design=1,screening-required,Automação não substitui leitura ontológica.,2,1,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X159,B04,20260831T003810Z,1.0.0,"""designing conversational agents""",OpenAlex,https://openalex.org/W4407063449,https://doi.org/10.4018/ijcallt.368218,Software Review,2025,Chenghao Wang; Xueyun Li,article,"D-ID Creative Reality Studio (D-ID) is a platform for creating Artificial Intelligence (AI) presenter (digital human) videos, translating videos, and designing conversational agents. D-ID seamlessly integrates deep-learning face animation technology, large language models (LLMs), natural language processing (NLP), and speech synthesis and recognition (SSR), offering new possibilities for immersive language teaching and learning. As highlighted in the slogan, “Amaze your audience with your art” (D-ID, 2024), both language learners and teachers can utilise D-ID to create personalised multimodal digital learning resources. Aligning with the interaction hypothesis (Long, 1996), a conversational agent can serve as a language partner, offering accurate linguistic input and facilitating conversational practice anytime and anywhere. Additionally, the incorporation of a digital human is consistent with the Cognitive Theory of Multimedia Learning (Mayer & Moreno, 2003), which asserts that dual-channel input—integrating visual and auditory modalities—enhances memory retention and overall learning effectiveness. This software review centres on the web-based version of D-ID and provides a detailed analysis of the main features that can contribute to second language acquisition.",https://doi.org/10.4018/ijcallt.368218,https://www.igi-global.com/ViewTitle.aspx?TitleId=368218&isxn=9798337316130,cc-by,hybrid,3,6,sistema=2;produto-design=4,screening-required,Automação não substitui leitura ontológica.,2,1,9,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X160,B04,20260831T003810Z,1.0.0,"""designing conversational agents""",OpenAlex,https://openalex.org/W4309675387,https://doi.org/10.1109/kse56063.2022.9953771,Towards a Human-like Chatbot using Deep Adversarial Learning,2022,Quoc-Dai Luong Tran; Anh-Cuong Le; Van‐Nam Huynh,conference-paper,"Conversational agents are getting more popular and applied in a wide range of practical application areas. The main task of these agents is not only to generate context-appropriate responses to a given query but also to make the conversation human-like. Thanks to the ability of deep learning based models in natural language modeling, recent studies have made progress in designing conversational agents that can provide more semantically accurate responses. However, the naturalness in such conversation setting has not been given adequate attention in these studies. This paper aims to incorporate both important criteria of accuracy and naturalness of conversation in developing a new model for conversational agents. To this end, inspired by the idea of Turing test and the idea of adversarial learning strategy, we propose to design a model based on generative deep neural networks that interestingly allow to generate accurate responses optimized by the mechanics of imitating human-generated conversations. Experimental results demonstrate that the proposed models produce more natural and accurate responses, yielding significant gains in BLEU scores.",https://doi.org/10.1109/kse56063.2022.9953771,,,closed,3,5,sistema=3;produto-design=2,screening-required,Automação não substitui leitura ontológica.,1,1,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
