title,doi,pmcid,url,valid_pdf,correspondence,coverage,pages,bytes,sha256,local_path,license,error
Impact of politeness and performance quality of android robots on future interaction decisions: a conversational design perspective,10.3389/frobt.2024.1393456,PMC11165153,https://pmc-oa-opendata.s3.amazonaws.com/PMC11165153.1/PMC11165153.1.pdf,true,true,1.000,14,11970680,4f25189a4944808b24b35d022095f49c714c8b8cf6f844a96943f662fad01792,library\staging\europe-pmc\PMC11165153.pdf,,
Chatbot Language - crowdsource perceptions and reactions to dialogue systems to inform dialogue design decisions,10.3758/s13428-022-01864-x,PMC9197095,https://pmc-oa-opendata.s3.amazonaws.com/PMC9197095.1/PMC9197095.1.pdf,true,true,1.000,23,3188468,28f438cd4e6714360908f52b80b65b5bf2c8a2931f91c93b2f0be95eb45dd330,library\staging\europe-pmc\PMC9197095.pdf,,
