run_id,query_version,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason
20260907T171423Z,1.2.0,"""Konversationsdesign""",OpenAlex,https://openalex.org/W4387497721,https://doi.org/10.21240/lbzm/23/11,KI-Kompetenz fördern,2023,Daniela Schlemmer; Claudia Schmidt; Katrin Bauer; Michael Canz; Volker Sänger; Teresa Sedlmeier,article,"Künstliche Intelligenz (KI) durchdringt unser Leben immer stärker. Studierende werden im Alltag und an Hochschulen zunehmend mit KI-Anwendungen konfrontiert. An der Hochschule Offenburg werden deshalb KI-bezogene Lehrangebote curricular verankert, um Studierende im Erwerb von KI-Kompetenz zu unterstützen.Der Beitrag stellt ein Konzept für die Entwicklung von Lehrveranstaltungen nach der Idee des pädagogischen Makings zur Förderung von KI-Kompetenz in der Hochschullehre vor. Konkretisiert wird das Konzept anhand eines Moduls zum Thema Chatbots, dessen Lehrinhalte interdisziplinär aus verschiedenen Perspektiven ausgearbeitet werden.",https://doi.org/10.21240/lbzm/23/11,https://www.medienpaed-ludwigsburg.de/article/download/502/478,cc-by,diamond,2,2,sistema=4;relevancia-campo=0,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""Konversationsdesign""",OpenAlex,https://openalex.org/W4386891197,https://doi.org/10.1007/s00287-023-01547-7,Dialog-Anpassung an den Charakter des Benutzers – Anwendung der Methoden des Charakter Computing,2023,Sophie Hundertmark; Nils Hafner; Edy Portmann,article,"Zusammenfassung Automatisierung mithilfe von Conversational AIs ist in der Finanzwelt keine Seltenheit mehr. Banken und Versicherungen stehen vor der großen Herausforderung, trotz Automatisierung ein möglichst individuelles Kundenerlebnis zu bieten. Character Computing ist eine Methode, die aufzeigt wie Conversational AIs zur Steigerung der Customer Experience jedes einzelnen Nutzers, gestaltet werden sollten. Mithilfe von Character Computing sollen sich Conversational AIs individuell auf die Wünsche des einzelnen Kunden anpassen können. Doch Character Computing allein reicht nicht aus, wie die Ergebnisse dieses Experiments zeigen. Das Paper zeigt, wie mithilfe von Experimenten Regeln für die Anwendung von Character Computing erstellt werden können. Es wird aber auch gezeigt, wie andere Methoden, wie beispielsweise die Conversational Theory oder mehrdimensionale Fuzzy Classifications, integriert werden müssten.",http://dx.doi.org/10.1007/s00287-023-01547-7,https://link.springer.com/content/pdf/10.1007/s00287-023-01547-7.pdf,cc-by,hybrid,0,1,sistema=0;relevancia-campo=1,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""Konversationsdesign""",OpenAlex,https://openalex.org/W3215237900,https://doi.org/10.3224/fzg.v27i1.06,"Siri, warum kannst Du nicht wütend werden? Strategien der Spekulation als Instrument feministischer Praxis",2021,Natalie Sontopski,article,"Die Diskussion rund um digitale Technologien, insbesondere die um künstliche Intelligenz, ist von Spekulation geprägt, da noch niemand sagen kann, wie nachhaltig sie unsere Gesellschaft transformieren werden. Was jedoch fehlt ist ein feministischer Blickwinkel auf die Strategien der Spekulation. Das in diesem Artikel umrissene Forschungsprogramm möchte anhand der empirischen Installation MiauMiau eine spekulativ-feministische Methode als kritisches Instrument vorstellen, um Limitierungen aktueller Diskurs-Strategien über technologische Potenziale und soziale Ungleichheit zu analysieren. Dadurch kann dazu beigetragen werden, zukünftig Spekulation als Methode feministischer Kritik zu nutzen.",https://doi.org/10.3224/fzg.v27i1.06,https://www.budrich-journals.de/index.php/fgs/article/view/38068/32345,cc-by,diamond,0,0,sistema=0;relevancia-campo=0,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""Konversationsdesign""",OpenAlex,https://openalex.org/W3210750185,,Künstliche Interaktionspartner*innen an Hochschulen,2020,Michael Raunig,book,Unter der Leitung des Zentrums für digitales Lehren und Lernen,https://resolver.obvsg.at/urn:nbn:at:at-ubg:3-9022,https://resolver.obvsg.at/urn:nbn:at:at-ubg:3-9022,cc-by,green,0,0,sistema=0;relevancia-campo=0,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""Konversationsdesign""",OpenAlex,https://openalex.org/W7112538463,,TEACHER'S VIEW ON THE USE OF CHATBOTS FOR EDUCATION IN SWEDISH HIGH SCHOOL,2023,"Blom, Andreas",dissertation,"Artificiell intelligens (AI) är en simuleringen av mänsklig intelligens genom programmering att tänka och lära likt människor. Chatbots är en applikation inom artificiell intelligens. Chatbots är datorprogram utformade för att simulera samtal mellan två mänskliga användare. I november 2022 introducerades ChatGPT av OpenAI vilket genererade stor uppmärksamhet från allmänheten. ChatGPT hade för första gången möjligheten att utföra komplexa uppgifter vilket aldrig tidigare hade skådats av samhället. Med hjälp av inmatningar kunde människor producera vetenskapliga texter på universitetsnivå utan förkunskap inom det specifika ämnet. ChatGPT visade sig vara ett kraftfullt verktyg och började användas i ett plural av olika verksamheter. En av verksamheterna som chatbots och ChatGPT diskuteras inom idag är utbildningssektorn och hur skolan ska hantera användningen av chatbots. Nya tekniska innovationer har historiskt haft svårt att få utrymme inom utbildningssektorn. Internet, datorer, bärbara datorer, mobiltelefoner är alla tekniska verktyg som har diskuterats brett huruvida de ska få ta plats inom skolans värld. En av de avgörande faktorerna till att bärbar dator idag finns i varje elevs skolväska är på grund av hur omvärlden och samhället använder bärbara datorer. Skolan ska förbereda elever inför livet efter utbildningen vilket därmed behöver inkludera tekniska verktyg som är brett använda inom majoriteten av verksamheter. I den positionen utgår den här studien som undersöker hur chatbots kan användas inom utbildningssektorn baserat på gymnasielärares uppfattning över för- och nackdelar. Undersökningen inkluderar direkta användningsområden och en filosofisk tagning där chatbots diskuteras huruvida de ska inkluderas i skolan överhuvudtaget.",http://urn.kb.se/resolve?urn=urn:nbn:se:his:diva-22715,https://his.diva-portal.org/smash/get/diva2:1768879/FULLTEXT01,other-oa,green,2,2,sistema=4;relevancia-campo=0,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
