record_id,title,doi,pdf_path,text_path,pages,pages_with_text,page_errors,characters,text_sha256,extraction_status
DCM-00103,Studies in Conversational UX Design,https://doi.org/10.1007/978-3-319-95579-7,library\staging\master-semantic-scholar\DCM-00103-SS-Studies-in-Conversational-UX-Design.pdf,extracted-text\local-only\master-semantic-scholar\DCM-00103-SS-Studies-in-Conversational-UX-Design.txt,8,8,0,5495,ac15d1db1b1e34b88639eb49d6acede2134f2ba99c4fc09017aa09a998fe0ece,complete
DCM-00279,Discourse Behavior of Older Adults Interacting with a Dialogue Agent Competent in Multiple Topics,https://doi.org/10.1145/3484510,library\staging\master-semantic-scholar\DCM-00279-SS-Discourse-Behavior-of-Older-Adults-Interacting-with-a-Dialogue-Ag.pdf,extracted-text\local-only\master-semantic-scholar\DCM-00279-SS-Discourse-Behavior-of-Older-Adults-Interacting-with-a-Dialogue-Ag.txt,5,5,0,20372,ee8b722fa430c67715efaa1a22f26a45cc53120da92c2171d8a5b1343e517c3e,complete
DCM-00297,Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/3334480,library\staging\master-semantic-scholar\DCM-00297-SS-Extended-Abstracts-of-the-2020-CHI-Conference-on-Human-Factors-in.pdf,extracted-text\local-only\master-semantic-scholar\DCM-00297-SS-Extended-Abstracts-of-the-2020-CHI-Conference-on-Human-Factors-in.txt,9,9,0,31006,84e3dac4cd1f70f8c2097231d604d393b5fbf781a433a34e947f545230133874,complete
DCM-00362,Embodied conversational agents for voice-biometric interfaces,https://doi.org/10.1145/1452392.1452454,library\staging\master-semantic-scholar\DCM-00362-SS-Embodied-conversational-agents-for-voice-biometric-interfaces.pdf,extracted-text\local-only\master-semantic-scholar\DCM-00362-SS-Embodied-conversational-agents-for-voice-biometric-interfaces.txt,7,7,0,38576,aceeec858403ea682537189c2da627ab667090d599e919ae39e6c33b7c01ebcb,complete
DCM-00653,Conversational Co-Design with Machine Agency,10.54941/ahfe1007361,library\staging\master-semantic-scholar\DCM-00653-SS-Conversational-Co-Design-with-Machine-Agency.pdf,extracted-text\local-only\master-semantic-scholar\DCM-00653-SS-Conversational-Co-Design-with-Machine-Agency.txt,11,11,0,30103,1d919a64ce26780989728687b83461808b4e1728918243b351b21cdcdffc3511,complete
DCM-00659,Voice UX in Banking: Designing Conversational AI for Financial Assistants,10.70528/ijlrp.v6.i7.1687,library\staging\master-semantic-scholar\DCM-00659-SS-Voice-UX-in-Banking-Designing-Conversational-AI-for-Financial-Ass.pdf,extracted-text\local-only\master-semantic-scholar\DCM-00659-SS-Voice-UX-in-Banking-Designing-Conversational-AI-for-Financial-Ass.txt,6,6,0,14978,0eca1644b532666ed7b8fe02023ae28bd612515f8e556324d25b7a5919788873,complete
DCM-00809,Conversational AI Agents for Financial Operations with Escalation-Aware Handoff Protocols: Designing Intelligent Human-AI Collaboration Systems,10.17762/ijisae.v14i1s.8190,library\staging\master-semantic-scholar\DCM-00809-SS-Conversational-AI-Agents-for-Financial-Operations-with-Escalation.pdf,extracted-text\local-only\master-semantic-scholar\DCM-00809-SS-Conversational-AI-Agents-for-Financial-Operations-with-Escalation.txt,12,12,0,48132,c2168da832deb7eb6860d821da75554f0ad71b551adc05e96322695b0209ccee,complete
DCM-00848,Beyond Repair – Testing the Limits of the Conversational Repair System,10.18653/v1/2007.sigdial-1.10,library\staging\master-semantic-scholar\DCM-00848-SS-Beyond-Repair-Testing-the-Limits-of-the-Conversational-Repair-Sys.pdf,extracted-text\local-only\master-semantic-scholar\DCM-00848-SS-Beyond-Repair-Testing-the-Limits-of-the-Conversational-Repair-Sys.txt,4,4,0,16246,354cd8b6a727d90e958aa19e9f8e3f55b15c7f73ad8ef6f79b408cf3e398cf28,complete
