run_id,query_version,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason,manual_centrality,manual_product_relevance,manual_documentary_evidence,manual_actionable_contribution,reviewer,review_date,manual_total,screening_decision,screening_reason,evidence_basis,author_review
20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W1491598925,https://doi.org/10.1007/978-0-306-47002-8_20,Design Issues for Conversational User Interfaces: Animating and Controlling 3D Faces,2001,Wolfgang Müller; Ulrike Spierling; Marc Alexa; Ido Iurgel,book-chapter,"Software agents and assistants, together with their adequate visual representations, lead to so-called social user interfaces, incorporating natural language interaction, context awareness and anthropomorphic avatars. Today’s challenge is to build a suitable visualization architecture for anthropomorphic conversational user interfaces, and to design believable and appropriate face-to-face interactions, including human attributes, such as emotions. An integrated approach to these tasks is presented.",https://doi.org/10.1007/978-0-306-47002-8_20,https://link.springer.com/content/pdf/10.1007/978-0-306-47002-8_20.pdf,,gold,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,3,2,1,Codex: primeira passagem governada,2026-08-30,10,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W4214574502,https://doi.org/10.1145/3490632.3490673,Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,2021,Ana Rita Goncalves Freitas; Alexander Schülke; Simon Glaser; Pitt Michelmann; Thanh Quang Nguyen; Lisa Schröder; Zahra Fadavi; Gaurav Talekar; Jette Ternieten; Akash R. Trivedi; Jana Wahls; Warda Masood; Christiane Heinicke; Johannes Schöning,conference-paper,"Long-term space missions are challenging and demanding for astronauts. Confined spaces and long-duration sensory deprivation may cause psychological problems for the astronauts. In this paper, we envision how extraterrestrial habitats (e.g., a habitat on the Moon or Mars) can maintain the well-being of the crews by augmenting the astronauts. In particular, we report on the design, implementation, and evaluation of conversational user interfaces (CUIs) for extraterrestrial habitats. The goal of such CUIs is to support scientists during their daily and scientific routines on their missions within the extraterrestrial habitat and provide emotional support. During a week-long so-called analog mission with four scientists using a Wizard of Oz prototype, we derived design guidelines for such CUIs. Successively, based on the derived guidelines, we present the implementation and evaluation of two CUIs named CASSIOPEIA and PEGASUS.",https://doi.org/10.1145/3490632.3490673,https://dl.acm.org/doi/pdf/10.1145/3490632.3490673,other-oa,gold,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,3,2,2,0,Codex: primeira passagem governada,2026-08-30,7,full-text-review,"O título indica uma CUI aplicada, mas é necessário verificar se a contribuição trata decisões de design ou apenas a aplicação setorial.",title+abstract,required
20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W3120881549,https://doi.org/10.1145/3397482.3450706,CUI@IUI: Theoretical and Methodological Challenges in Intelligent Conversational User Interface Interactions,2021,Philip R. Doyle; Daniel Rough; Justin Edwards; Benjamin R. Cowan; Leigh Clark; Martin Porcheron; Stephan Schlögl; María Inés Torres; Cosmin Munteanu; Christine Murad; Jaisie Sin; Minha Lee; Matthew P. Aylett; Heloísa Candello,conference-paper,"This workshop aims to bring together the Intelligent User Interface (IUI) and Conversational User Interface (CUI) communities to understand the theoretical and methodological challenges in designing, deploying and evaluating CUIs. CUIs have continued to prosper with the increased use and technological developments in both text-based chatbots and speech-based systems. However, challenges remain in creating established theoretical and methodological approaches for CUIs, and how these can be used with recent engineering advances. These include assessing the impact of interface design on user behaviours and perceptions, developing design guidelines, understanding the role of personalisation and issues of ethics and privacy. Our half-day multidisciplinary workshop brings together researchers and practitioners from the IUI and CUI communities in academia and industry. We aim to (1) identify and map out key focus areas and research challenges to address these critical theoretical and methodological gaps and (2) foster strong relationships between disciplines within and related to Artificial Intelligence (AI) and Human-Computer Interaction (HCI).",https://research.tue.nl/en/publications/01e3d445-960c-4c3c-8fc3-9511ae823728,https://pure.tue.nl/ws/files/386756462/3397482.3450706_1_.pdf,other-oa,green,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,2,2,1,Codex: primeira passagem governada,2026-08-30,9,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W3201476520,https://doi.org/10.1145/3473856.3473872,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,2021,Vanessa Fahn; Andreas Riener,conference-paper,"Conversational user interfaces have recently gained in popularity, for example in chatbot systems for customer service or as intelligent assistants on Smartphones or other IoT devices. However, conversational banking interfaces have also found their way into the mobile banking sector and allow banks to offer their customers a cost-effective and personalized solution to perform financial services via natural language. Conversational interfaces, in particular for mobile banking applications, are very sensitive to user acceptance and trust. Also, user experience and the perceived security influence their adoption significantly. To explore the influence of these dimensions we have implemented three prototypes for conversational banking and evaluated them in a user study with n=18 subjects concerning the factors mentioned above. Although the results suggest no significant differences between the prototypes, we can draw design implications for conversational interfaces for mobile banking from the collected quantitative and qualitative data.",https://doi.org/10.1145/3473856.3473872,,,closed,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,2,1,1,Codex: primeira passagem governada,2026-08-30,8,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W4295955266,https://doi.org/10.1145/3543829.3544524,Unifying Recommender Systems and Conversational User Interfaces,2022,Alain D. Starke; Minha Lee,conference-paper,"This paper considers unifying research on conversational user interfaces and recommender systems. Studies on conversational user interfaces (CUIs) typically examine how conversations can be facilitated (i.e., optimizing the means). Recommender systems research (RecSys) aims to retrieve and present recommendations in a user’s session (i.e., optimizing the ends). Though these aims are overlapping across both areas, they can be better examined together to target the means and ends of what people can achieve with technology as conversational recommender systems (CRSs). We discuss the intersection of conversational user interfaces, recommender systems, and conversational recommender systems. We argue how conversations and recommendations can be designed holistically, in which recommendations can also be a means to foster engaging conversational interaction, while conversations as ends can better sustain curated, long-term recommendations.",https://doi.org/10.1145/3543829.3544524,https://dl.acm.org/doi/pdf/10.1145/3543829.3544524,,gold,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,3,2,2,0,Codex: primeira passagem governada,2026-08-30,7,full-text-review,A integração entre recomendação e CUI pode ser predominantemente arquitetural; o texto integral deve demonstrar implicações para produto e interação.,title+abstract,required
20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W3200412126,https://doi.org/10.1145/3473856.3473871,Ensuring a Robust Multimodal Conversational User Interface During Maintenance Work,2021,Christian Fleiner; Till Riedel; Michael Beigl; Marcel Ruoff,conference-paper,"It has been shown that the provision of a conversational user interface proves beneficial in many domains. But, there are still many challenges when applied in production areas, e.g. as part of a virtual assistant to support workers in knowledge-intensive maintenance work. Regarding input modalities, touchscreens are failure-prone in wet environments and the quality of voice recognition is negatively affected by ambient noise. Augmenting a symmetric text- and voice-based user interface with gestural input poses a good solution to provide both efficiency and a robust communication. This paper contributes to this research area by providing results on the application of appropriate head and one-hand gestures during maintenance work. We conducted an elicitation study with 20 participants and present a gesture set as its outcome. To facilitate the gesture development and integration for application designers, a classification model for head gestures and one for one-hand gestures were developed. Additionally, a proof-of-concept for operators’ acceptance regarding a multimodal conversational user interface with support of gestural input during maintenance work was demonstrated. It encompasses two usability testings with 18 participants in different realistic, but controlled settings: notebook repair (SUS: 82.1) and cutter head maintenance (SUS: 82.7).",https://publikationen.bibliothek.kit.edu/1000138385,https://publikationen.bibliothek.kit.edu/1000138385/154245988,,green,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,2,2,1,Codex: primeira passagem governada,2026-08-30,9,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W4385432937,https://doi.org/10.1007/978-3-031-40113-8_17,Key Principles Pertinent to User Experience Design for Conversational User Interfaces: A Conceptual Learning Model,2023,Amore Rossouw; Hanlie Smuts,conference-paper,,https://doi.org/10.1007/978-3-031-40113-8_17,,,closed,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,3,1,1,Codex: primeira passagem governada,2026-08-30,9,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+metadata,required-if-central-claim
20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W4400397386,https://doi.org/10.1145/3640794.3665547,"Seeking Truth, Comfort, and Connection: How Conversational User Interfaces can help Couples with Dementia Manage Reality Disjunction",2024,Yvon Ruitenburg; Minha Lee; Wijnand A. IJsselsteijn; Panos Markopoulos,conference-paper,"Reality disjunction, when people present contradicting worldviews as true, frequently occurs in conversations between people with dementia and their partners due to memory gaps, distortions, fabrications, or unsuccessful communication. These couples can feel isolated and frustrated when trying to reconcile their memories or diverging perceptions of the world. Conversational User Interfaces (CUIs) can be used to help people with dementia with their cognitive needs, but their role in helping with reality disjunction is unexplored. Through semi-structured interviews, we examined how six couples (composed of people with dementia and their partners) experience reality disjunction and explored CUIs’ potential roles in mediating these situations through speculative designs. We found that addressing reality disjunction depended on what couples valued in their interaction. Each person may value the truth of what happened, but may let go of this when aiming for comfort, and empathise with their partner when pursuing connection. Potential roles for CUIs to help couples explore these values include helping them check and explain their memories, reducing their distress during reality disjunction, and helping people practice different responses to reality disjunction.",https://doi.org/10.1145/3640794.3665547,,cc-by,gold,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,2,1,1,Codex: primeira passagem governada,2026-08-30,8,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W2788150610,https://doi.org/10.48550/arxiv.1802.09055,Domain Specific Design Patterns: Designing For Conversational User Interfaces,2018,Ahmed Fadhil,preprint,"Designing conversational user interface experience is complicated because conversation comes with many expectations. When these expectations are met, we feel the interface is natural, but once violated, we feel something is amiss. The last decade witnessed human language technologies and behaviours to enable humans converse with software using spoken dialogue to access, create and process information. Less is known about the practicalities of designing chatbot interactions. In this paper, we introduce the nature of conversational user interfaces (CUIs) and describe the underlying technologies they are based on. Moreover, we define guidelines for designing conversational interfaces in various domains. This paper particularly focuses on classifying the elements and techniques used in CUI design patterns. After concluding certain challenges with CUI, we discuss important features and chatbot states to be considered in CUI design for specific domain. We envisage this study to support CUI researchers to design tailored chatbots applicable into certain domain and improve the current state of research challenges in the field of Artificial Intelligence and conversational agents.",http://arxiv.org/abs/1802.09055,https://arxiv.org/pdf/1802.09055,,green,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,3,2,1,Codex: primeira passagem governada,2026-08-30,10,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
20260831T003810Z,1.0.0,"""voice user interface"" design",OpenAlex,https://openalex.org/W1539115757,,Voice User Interface Design,2004,M. Cohen; James P. Giangola; Jennifer Balogh,article,"This book is a comprehensive and authoritative guide to voice user interface (VUI) design. The VUI is perhaps the most critical factor in the success of any automated speech recognition (ASR) system, determining whether the user experience will be satisfying or frustrating, or even whether the customer will remain one. This book describes a practical methodology for creating an effective VUI design. The methodology is scientifically based on principles in linguistics, psychology, and language technology, and is illustrated here by examples drawn from the authors' work at Nuance Communications, the market leader in ASR development and deployment.The book begins with an overview of VUI design issues and a description of the technology. The authors then introduce the major phases of their methodology. They first show how to specify requirements and make high-level design decisions during the definition phase. They next cover, in great detail, the design phase, with clear explanations and demonstrations of each design principle and its real-world applications. Finally, they examine problems unique to VUI design in system development, testing, and tuning. Key principles are illustrated with a running sample application.A companion Web site provides audio clips for each example: www.VUIDesign.orgThe cover photograph depicts the first ASR system, Radio Rex: a toy dog who sits in his house until the sound of his name calls him out. Produced in 1911, Rex was among the few commercial successes in earlier days of speech recognition. Voice User Interface Design reveals the design principles and practices that produce commercial success in an era when effective ASRs are not toys but competitive necessities.",http://www.loc.gov/catdir/toc/ecip0410/2003022900.html,,,closed,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,3,2,1,0,Codex: primeira passagem governada,2026-08-30,6,full-text-review,"Título sem DOI e sem resumo. É necessário identificar autoria, edição e conteúdo antes da decisão.",title+abstract,required
