run_id,query_version,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason,documentary_signal,actionable_signal,expanded_possible_score,queue_reason,screening_decision
20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W2492243454,https://doi.org/10.4018/978-1-59904-597-9.ch007,Conversation Design in the Electronic Discussion Age,2008,Gregory MacKinnon,book-chapter,"The goal of the chapter to examine a way in which Pask’ s conversation theory (CT) can be used as a theoretical framework for designing blended courses using a collaborative inquiry approach for teaching and learning in campus-based university. This chapter comprises three parts that explains a) the constructs of CT, and their relations in regard to online collaborative inquiry, b) the four principles derived from the constructs of CT and the possible use of these principles to design a blended course, and c) how the effects of these constructs can be used to assess the effectiveness of this CT based blended course design. This chapter is concluded with the discussion and implications for course design, and future research on CT.",https://doi.org/10.4018/978-1-59904-597-9.ch007,,,closed,4,5,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,1,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W4404224824,https://doi.org/10.3390/app142210316,Beyond Binary Dialogues: Research and Development of a Linguistically Nuanced Conversation Design for Social Robots in Group–Robot Interactions,2024,Christoph Bensch; Ana Müller; Oliver Chojnowski; Anja Richert,article,"In this paper, we detail the technical development of a conversation design that is sensitive to group dynamics and adaptable, taking into account the subtleties of linguistic variations between dyadic (i.e., one human and one agent) and group interactions in human–robot interaction (HRI) using the German language as a case study. The paper details the implementation of robust person and group detection with YOLOv5m and the expansion of knowledge databases using large language models (LLMs) to create adaptive multi-party interactions (MPIs) (i.e., group–robot interactions (GRIs)). We describe the use of LLMs to generate training data for socially interactive agents including social robots, as well as a self-developed synthesis tool, knowledge expander, to accurately map the diverse needs of different users in public spaces. We also outline the integration of a LLM as a fallback for open-ended questions not covered by our knowledge database, ensuring it can effectively respond to both individuals and groups within the MPI framework.",http://dx.doi.org/10.3390/app142210316,,cc-by,gold,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,1,8,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W4390442851,https://doi.org/10.1007/978-3-031-49811-4_74,Conversation Design for Raising Awareness on the Responsible Use of the Internet,2023,Mauro Filippi; Salvatore Di Dio; Domenico Schillaci; Stefano Malorni; A. Scuderi; Sabrina Guzzo,conference-paper,"Abstract The rapid process of digital transformation and servitization experienced on a global scale in recent decades, further accelerated by the pandemic crisis, has radically altered the life experience of societies, with technological innovations leading to the emergence of new ethical and legal challenges. The issue of digital literacy and the acquisition of basic skills for responsible use of the internet has become one of the most urgent prerogatives in international government programs to address psychosocial phenomena such as those related to online grooming, cyberbullying, cybersuicide, cyber racing, or online scamming. The proposed work introduces the use of participatory game design as an empowerment tool for young students. The case study of the NetWalking project, developed by an interdisciplinary team of practitioners and researchers in several secondary schools in the city of Palermo (Italy), describes the experimentation of co-design activities of an edugame with a conversational interface (chatbot), which exploits the logic of nonlinear storytelling to actively engage students in playful learning activities, contributing to the development of hard skills (STEM) and soft skills (self-assessment, teamwork and information management).",https://doi.org/10.1007/978-3-031-49811-4_74,https://link.springer.com/content/pdf/10.1007/978-3-031-49811-4_74.pdf,cc-by,hybrid,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,2,0,8,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W4387939953,https://doi.org/10.1177/21695067231192609,Investigating User Preferences for Conversation Design of Voice Assistant Systems using Linguistic Features,2023,Lilit Sargsyan; Seungju Choi; Sang-Hwan Kim,article,"As the use of voice assistant (VA) systems is increasing, conversation design in the system is important for effective human-system interaction. The objective of the study was to investigate the level of user preference for VA outputs in terms of linguistics. Answers of three VA systems for each of the nine questions were collected and categorized for distinctive linguistic factors such as type of theme, thematic progression, number of predications, and ellipsis. The VA answers were evaluated through an online survey. Results show that linguistic factors and features significantly affect user preference for VA outputs. The results imply that the linguistic features need to be considered for designing voice interaction communications as a natural interaction method.",https://doi.org/10.1177/21695067231192609,,,closed,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,1,8,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
20260831T003810Z,1.0.0,"""conversational design""",OpenAlex,https://openalex.org/W3126219458,https://doi.org/10.1080/03055698.2020.1850426,"Teachers’ attitudes towards chatbots in education: a technology acceptance model approach considering the effect of social language, bot proactiveness, and users’ characteristics",2021,Raquel Chocarro; Mónica Cortiñas; Gustavo Marcos‐Matás,article,"The appearance of Artificial Intelligence implementations, such as text-based virtual assistants (chatbots) in education is relatively new. These implementations can be useful for helping teachers and students to solve both educational questions and routine tasks. This paper examines the factors that explain teachers’ acceptance of chatbots through the dimensions of the Technology Acceptance Model (perceived usefulness and perceived ease of use), its conversational design (use of social language and proactiveness), and the teachers’ age and digital skills. The data collection process included a pre-test and an online survey with four different types of chatbots. We analyse 225 responses of primary and secondary education teachers. The results show that the perceived easiness and perceived usefulness leads to greater acceptance of chatbots. As for the chatbots’ features, formal language by a chatbot leads to a higher intention of using them. These results can help in chatbot design and communication decisions, improving the acceptance of the educational community.",https://hdl.handle.net/2454/39169,https://academica-e.unavarra.es/bitstreams/1eefe858-7edc-4d86-acdd-15fed72ac327/download,other-oa,green,3,4,sistema=2;produto-design=1,screening-required,Automação não substitui leitura ontológica.,2,1,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
20260831T003810Z,1.0.0,"""conversational design""",OpenAlex,https://openalex.org/W1989079570,https://doi.org/10.1145/321662.321677,On Network Linguistics and the Conversational Design of Queueing Networks,1971,Keki B. Irani; Victor L. Wallace,article,"Network diagrams are a frequent means of problem description in many technical disciplines. However, problem-oriented graphic systems which use network diagrams as the medium of communication require translators. These accept the information provided in the network diagrams, associate mathematical meaning with the symbols of the diagram, and then transform that meaning into a model of the entire network which is capable of computer solution.",https://doi.org/10.1145/321662.321677,https://dl.acm.org/doi/pdf/10.1145/321662.321677,,bronze,4,5,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,2,1,8,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
20260831T003810Z,1.0.0,"""conversational design""",OpenAlex,https://openalex.org/W2955687982,https://doi.org/10.1080/24750158.2019.1611694,Enhancing the Academic Library Experience with Chatbots: An Exploration of Research and Implications for Practice,2019,Indra Mckie; Bhuva Narayan,article,"This paper explores the potential of using chatbots to improve the academic research experience for university students with a literature-based discussion reflecting on a prototype being developed at the University of Technology Sydney (UTS). The paper proposes that information professionals need to adapt emerging technologies such as chatbots to innovate, improve and support library services. Designing a positive experience for the user is essential to ensure that such technological solutions are sustainable. In this exploratory paper, we argue that it is important that librarians engage with the conversational design of the library chatbot in collaboration with the technology developers in order to make it useful, friendly, trustworthy, and customisable for university students.",https://doi.org/10.1080/24750158.2019.1611694,https://www.tandfonline.com/doi/pdf/10.1080/24750158.2019.1611694?needAccess=true&role=button,other-oa,hybrid,3,5,sistema=2;produto-design=2,screening-required,Automação não substitui leitura ontológica.,2,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
20260831T003810Z,1.0.0,"""conversational design""",OpenAlex,https://openalex.org/W4362472235,https://doi.org/10.1145/3589959,Beyond Self-diagnosis: How a Chatbot-based Symptom Checker Should Respond,2023,Yue You; Chun-Hua Tsai; Yao Li; Fenglong Ma; Christopher Heron; Xinning Gui,article,"Chatbot-based symptom checker (CSC) apps have become increasingly popular in healthcare. These apps engage users in human-like conversations and offer possible medical diagnoses. The conversational design of these apps can significantly impact user perceptions and experiences, and may influence medical decisions users make and the medical care they receive. However, the effects of the conversational design of CSCs remain understudied, and there is a need to investigate and enhance users’ interactions with CSCs. In this article, we conducted a two-stage exploratory study using a human-centered design methodology. We first conducted a qualitative interview study to identify key user needs in engaging with CSCs. We then performed an experimental study to investigate potential CSC conversational design solutions based on the results from the interview study. We identified that emotional support, explanations of medical information, and efficiency were important factors for users in their interactions with CSCs. We also demonstrated that emotional support and explanations could affect user perceptions and experiences, and they are context-dependent. Based on these findings, we offer design implications for CSC conversations to improve the user experience and health-related decision-making.",https://doi.org/10.1145/3589959,https://dl.acm.org/doi/pdf/10.1145/3589959,,bronze,3,6,sistema=1;produto-design=4,screening-required,Automação não substitui leitura ontológica.,2,1,9,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
20260831T003810Z,1.0.0,"""conversational design""",OpenAlex,https://openalex.org/W1556089943,https://doi.org/10.1007/978-1-4613-4606-7_7,Conversational Design of Stochastic Service Systems from a Graphical Terminal,1971,Keki B. Irani; Victor L. Wallace; Jasmyne Jackson,book-chapter,,https://doi.org/10.1007/978-1-4613-4606-7_7,,,closed,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
20260831T003810Z,1.0.0,"""conversational design""",OpenAlex,https://openalex.org/W4405585132,https://doi.org/10.1145/3702038.3702083,Human Factors in the Design of Chatbot Interactions: Conversational Design Practices,2024,Geovana Ramos Sousa Silva; Edna Dias Canedo,conference-paper,,https://doi.org/10.1145/3702038.3702083,,,closed,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
