corpus_id,title,doi,semantic_scholar_id,resolved,open_access_pdf_url,open_access_status,landing_url,retrieved_at,error
DCM-01002,Interfaces autoajustáveis em websites,10.47749/t/unicamp.2012.896641,,false,,,,2026-09-01T00:53:01.841609+00:00,
DCM-01003,Designing Integrated Interfaces that Stimulate Activity,10.4324/9780203366202-19,,false,,,,2026-09-01T00:53:01.841609+00:00,
DCM-01004,Theoretical Frameworks for Advancing Educational Interfaces,10.4324/9780203366202-18,,false,,,,2026-09-01T00:53:01.841609+00:00,
DCM-01006,Model-Based Design of User-Interfaces Using Object-Z,10.1007/978-94-011-4295-3_4,596fa5195ff960e7d81dca5f241d6285ebfe2840,true,,CLOSED,https://www.semanticscholar.org/paper/596fa5195ff960e7d81dca5f241d6285ebfe2840,2026-09-01T00:53:01.841609+00:00,
DCM-01007,Design standards for effective MCM design,10.1016/s0920-5489(99)91114-5,,false,,,,2026-09-01T00:53:01.841609+00:00,
DCM-01008,Corporate identity for iconic interface design: The graphic design perspective,10.1016/0252-7308(84)90055-2,,false,,,,2026-09-01T00:53:01.841609+00:00,
DCM-01009,Aesthetic interfaces,10.5040/9781350068308.ch-005,b2ad2620abaa4716ee1373942ca9237c2f351a5d,true,,CLOSED,https://www.semanticscholar.org/paper/b2ad2620abaa4716ee1373942ca9237c2f351a5d,2026-09-01T00:53:01.841609+00:00,
DCM-01010,Design Interfaces with VR,10.47330/dcio.2021.zwzf7054,b5dc36960c8ef37d72cdcf814eb94d1da95dc6e8,true,,,https://www.semanticscholar.org/paper/b5dc36960c8ef37d72cdcf814eb94d1da95dc6e8,2026-09-01T00:53:01.841609+00:00,
DCM-01012,Ethical interfaces,10.5040/9781350068308.ch-004,,false,,,,2026-09-01T00:53:01.841609+00:00,
DCM-01013,Social interfaces,10.5040/9781350068308.ch-002,649d92bafc1cd01d11691df09ae53059cceb2bcf,true,,CLOSED,https://www.semanticscholar.org/paper/649d92bafc1cd01d11691df09ae53059cceb2bcf,2026-09-01T00:53:01.841609+00:00,
DCM-01015,Design Principles for Nanobubble Regulation on Electrocatalytic Interfaces,10.1021/acs.jpclett.6c01070.s001,,false,,,,2026-09-01T00:53:01.841609+00:00,
DCM-01016,SystemVerilog Interfaces,10.1007/0-387-36495-1_10,,false,,,,2026-09-01T00:53:01.841609+00:00,
DCM-01041,"Asistentes conversacionales virtuales en las administraciones tributarias: Principios, modelos y recomendaciones",10.18235/0001901,,false,,,,2026-09-01T00:53:44.863264+00:00,<HTTPError 429: ''>
DCM-01044,Importancia de la cultura y del diseño web cultural en el desarrollo del Turismo,10.7476/9788574556314.0014,,false,,,,2026-09-01T00:53:44.863264+00:00,<HTTPError 429: ''>
DCM-01051,9. Aspectos conversacionales del debate cara a cara 347,10.3726/978-3-0352-0088-1/10,,false,,,,2026-09-01T00:53:44.863264+00:00,<HTTPError 429: ''>
DCM-01053,La variación en la construcción de textos orales ligada al uso de marcadores discursivo-conversacionales,10.31819/9783964564740-005,,false,,,,2026-09-01T00:53:44.863264+00:00,<HTTPError 429: ''>
DCM-01057,Modelo de evaluación semiótico de la usabilidad de patrones de diseño de interfaces gráficas de usuario en apps,10.24275/uama.5813.13149,,false,,,,2026-09-01T00:53:44.863264+00:00,<HTTPError 429: ''>
DCM-01058,Elicitación de la combinación de palabras en contextos conversacionales,10.1016/s1137-8174(11)70049-8,,false,,,,2026-09-01T00:53:44.863264+00:00,<HTTPError 429: ''>
DCM-01063,Compartir Compartir Chío Pinterest La expresión pronominal de sujeto y objetos en español: Estudio con datos conversacionales,10.15304/9788415876670,,false,,,,2026-09-01T00:53:44.863264+00:00,<HTTPError 429: ''>
