"corpus_id","doi","title","pdf_url","path","valid_pdf","pdf_signature","sha256","bytes","content_type","error","retrieved_at"
"DCM-00462","","Desarrollo de un chatbot aplicando principios de usabilidad para la orientación de ingresantes en el sitio web de la Facultad de Ciencias Exactas y Tecnologías","http://sedici.unlp.edu.ar/bitstream/handle/10915/195688/Documento_completo.pdf?sequence=1","library/staging/master-retry-3200/retry-retry.pdf","true","true","ec943bdc51f15a35c975a73ce2ded1f239ebffa06ee943134ec4ae836c830ab9","610522","application/pdf","","2026-09-08T00:50:07.671833+00:00"
"DCM-00527","","Agente basado en LLM para la ejecución de comandos CLI a partir de lenguaje natural : Caso de estudio con Docker","http://sedici.unlp.edu.ar/bitstream/handle/10915/191417/Documento_completo.pdf?sequence=1","library/staging/master-retry-3200/retry-retry.pdf","true","true","47a0ff3e11046b040ee45ec595e0ae657173aa86e231767e8691e0094f442e6c","584265","application/pdf","","2026-09-08T00:50:12.945194+00:00"
"DCM-01061","10.1344/phonica2024.20.7","Pragmática, prosodia y emoción: el papel de la entonación en secuencias conversacionales de conflicto","https://revistes.ub.edu/index.php/phonica/article/download/47064/42919","library/staging/master-retry-3200/retry-retry.pdf","true","true","54a137e9dc8afc940231a40fd26155a05a197c5558eb9dc01c6ce5fb6c57b40c","1367904","application/pdf","","2026-09-08T00:50:20.219981+00:00"
