corpus_id,title,doi,openalex_id,location_number,is_oa,landing_url,pdf_url,license,version,source_name,source_type
DCM-06448,Implicit user-adaptive system engagement in speech and pen interfaces,10.1145/1357054.1357204,https://openalex.org/W2111960899,1,false,https://doi.org/10.1145/1357054.1357204,,,publishedVersion,,
DCM-06448,Implicit user-adaptive system engagement in speech and pen interfaces,10.1145/1357054.1357204,https://openalex.org/W2111960899,2,false,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.132.278,,,submittedVersion,,
DCM-06451,Investigating the usability and user experiences of voice user interface,10.1145/3236112.3236130,https://openalex.org/W2889031479,1,false,https://doi.org/10.1145/3236112.3236130,,,publishedVersion,,
DCM-06466,Designing the user interface: Strategies for effective human-computer interaction,10.1016/0954-1810(87)90189-0,https://openalex.org/W262436420,1,false,https://doi.org/10.1016/0954-1810(87)90189-0,,,publishedVersion,Artificial Intelligence in Engineering,journal
DCM-06469,Technology acceptance model: a literature review from 1986 to 2013,10.1007/s10209-014-0348-1,https://openalex.org/W2038539934,1,false,https://doi.org/10.1007/s10209-014-0348-1,,,publishedVersion,Universal Access in the Information Society,journal
DCM-06475,Proceedings of the 54th Hawaii International Conference on System Sciences,10.24251/hicss.2021.000,https://openalex.org/W2546579087,1,false,https://doi.org/10.24251/hicss.2021.000,,,publishedVersion,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences,conference
DCM-06477,Typefaces and the Perception of Humanness in Natural Language Chatbots,10.1145/3025453.3025919,https://openalex.org/W2611556044,1,false,https://doi.org/10.1145/3025453.3025919,,,publishedVersion,,
DCM-06478,"I'm Sorry, Dave, I'm Afraid I Can't Do That",10.1145/3125739.3125766,https://openalex.org/W2765338544,1,false,https://doi.org/10.1145/3125739.3125766,,,publishedVersion,,
DCM-06487,"Introduction to Microsoft Bot, RASA, and Google Dialogflow",10.1007/978-1-4842-5034-1_7,https://openalex.org/W2973112377,1,false,https://doi.org/10.1007/978-1-4842-5034-1_7,,,publishedVersion,Apress eBooks,ebook platform
DCM-06490,Text/Conference Paper,10.18420/delfi2019_289,https://openalex.org/W2990320950,1,true,https://doi.org/10.18420/delfi2019_289,,,,Gesellschaft für Informatik (GI),repository
DCM-06490,Text/Conference Paper,10.18420/delfi2019_289,https://openalex.org/W2990320950,2,false,https://dblp.uni-trier.de/db/conf/delfi/delfi2019.html#Hobert19,,,,DeLFI,journal
DCM-06499,"""I Hear You, I Feel You"": Encouraging Deep Self-disclosure through a Chatbot",10.1145/3313831.3376175,https://openalex.org/W3029922759,1,false,https://doi.org/10.1145/3313831.3376175,,,publishedVersion,,
DCM-06500,Do Multilingual Users Prefer Chat-bots that Code-mix? Let's Nudge and Find Out!,10.1145/3392846,https://openalex.org/W3031851686,1,false,https://doi.org/10.1145/3392846,,,publishedVersion,Proceedings of the ACM on Human-Computer Interaction,journal
DCM-06509,Mental models and expectation violations in conversational AI interactions,10.1016/j.dss.2021.113515,https://openalex.org/W3133035511,1,false,https://doi.org/10.1016/j.dss.2021.113515,,,publishedVersion,Decision Support Systems,journal
DCM-06516,"Trust me, I'm a bot – repercussions of chatbot disclosure in different service frontline settings",10.1108/josm-10-2020-0380,https://openalex.org/W3172597447,1,false,https://doi.org/10.1108/josm-10-2020-0380,,,publishedVersion,Journal of service management,journal
DCM-06516,"Trust me, I'm a bot – repercussions of chatbot disclosure in different service frontline settings",10.1108/josm-10-2020-0380,https://openalex.org/W3172597447,2,true,https://resolver.sub.uni-goettingen.de/purl?gro-2/135471,,other-oa,submittedVersion,GoeScholar  The Publication Server of the Georg-August-Universität Göttingen (Georg-August-Universität Göttingen),repository
DCM-06517,How chatbots' social presence communication enhances consumer engagement: the mediating role of parasocial interaction and dialogue,10.1108/jrim-12-2019-0200,https://openalex.org/W3174303984,1,false,https://doi.org/10.1108/jrim-12-2019-0200,,,publishedVersion,Journal of Research in Interactive Marketing,journal
DCM-06519,A comparison between chatbot and human service: customer perception and reuse intention,10.1108/ijchm-12-2020-1399,https://openalex.org/W3193720561,1,false,https://doi.org/10.1108/ijchm-12-2020-1399,,,publishedVersion,International Journal of Contemporary Hospitality Management,journal
DCM-06522,"Application of humanization to survey chatbots: Change in chatbot perception, interaction experience, and survey data quality",10.1016/j.chb.2021.107034,https://openalex.org/W3202150802,1,false,https://doi.org/10.1016/j.chb.2021.107034,,,publishedVersion,Computers in Human Behavior,journal
DCM-06525,Why or Why Not? The Effect of Justification Styles on Chatbot Recommendations,10.1145/3441715,https://openalex.org/W3209280074,1,false,https://doi.org/10.1145/3441715,,,publishedVersion,ACM Transactions on Information Systems,journal
DCM-06528,On the evaluation of usability design guidelines for improving network monitoring tools interfaces,10.1016/j.jss.2022.111223,https://openalex.org/W4206621382,1,false,https://doi.org/10.1016/j.jss.2022.111223,,,publishedVersion,Journal of Systems and Software,journal
DCM-06532,Systems and software engineering. Vocabulary,10.3403/30346267u,https://openalex.org/W4236761068,1,false,https://doi.org/10.3403/30346267u,,,publishedVersion,,
DCM-06536,Factors affecting user trust and intention in adopting chatbots: the moderating role of technology anxiety in insurtech,10.1057/s41264-023-00230-y,https://openalex.org/W4366985436,1,false,https://doi.org/10.1057/s41264-023-00230-y,,,publishedVersion,Journal of Financial Services Marketing,journal
DCM-06536,Factors affecting user trust and intention in adopting chatbots: the moderating role of technology anxiety in insurtech,10.1057/s41264-023-00230-y,https://openalex.org/W4366985436,2,false,http://link.springer.com/10.1057/s41264-023-00230-y,,,submittedVersion,RePEc: Research Papers in Economics,repository
DCM-06537,AI credibility and consumer-AI experiences: a conceptual framework,10.1108/jstp-03-2023-0108,https://openalex.org/W4389272119,1,false,https://doi.org/10.1108/jstp-03-2023-0108,,,publishedVersion,Journal of Service Theory and Practice,journal
DCM-06541,"Right agent, wrong level of hedonism: How high (vs low) hedonic values in AI-performed tasks lead to decreased perceptions of humanlikeness, warmth, and less consumer support",10.1016/j.chb.2023.107870,https://openalex.org/W4384037131,1,false,https://doi.org/10.1016/j.chb.2023.107870,,,publishedVersion,Computers in Human Behavior,journal
DCM-06543,Enhancing Natural Language Processing in Multilingual Chatbots for Cross-Cultural Communication,10.1109/icicv62344.2024.00027,https://openalex.org/W4396689107,1,false,https://doi.org/10.1109/icicv62344.2024.00027,,,publishedVersion,,
DCM-06545,Investigating Software Development Teams Members' Perceptions of Data Privacy in the Use of Large Language Models (LLMs),10.1145/3701625.3701675,https://openalex.org/W4405671593,1,false,https://doi.org/10.1145/3701625.3701675,,,publishedVersion,,
DCM-06546,Introducing CASUX: A Standardized Scale for Measuring the User Experience of Artificial Intelligence Based Conversational Agents,10.1080/10447318.2024.2359206,https://openalex.org/W4399292033,1,false,https://doi.org/10.1080/10447318.2024.2359206,,,publishedVersion,International Journal of Human-Computer Interaction,journal
DCM-06546,Introducing CASUX: A Standardized Scale for Measuring the User Experience of Artificial Intelligence Based Conversational Agents,10.1080/10447318.2024.2359206,https://openalex.org/W4399292033,2,false,http://psasir.upm.edu.my/id/eprint/122906/1/122906.pdf,http://psasir.upm.edu.my/id/eprint/122906/1/122906.pdf,,acceptedVersion,Universiti Putra Malaysia Institutional Repository (Universiti Putra Malaysia),repository
DCM-06547,The Mediating Role of Parasocial Relationship in Customer Services Chatbots Among Millennials and Gen Z Population,10.1080/10447318.2024.2306438,https://openalex.org/W4391473501,1,false,https://doi.org/10.1080/10447318.2024.2306438,,,publishedVersion,International Journal of Human-Computer Interaction,journal
DCM-06550,Unlocking the precursors of customer service experience using artificial intelligence-driven chatbot: calibration of gratification theory and expectation confirmation model,10.1108/jeim-10-2024-0551,https://openalex.org/W4414298850,1,false,https://doi.org/10.1108/jeim-10-2024-0551,,,publishedVersion,Journal of Enterprise Information Management,journal
DCM-06553,What future for AI chatbots in banking: from current challenges to mirages?,10.1108/itp-01-2025-0008,https://openalex.org/W7117693379,1,false,https://doi.org/10.1108/itp-01-2025-0008,,,publishedVersion,Information Technology and People,journal
DCM-06554,Understanding How Parents Deal With the Health Advice They Receive: A Qualitative Study and Implications for the Design of Message-based Health Dissemination Systems for Child Health,10.1145/3643834.3661504,https://openalex.org/W4403576076,1,false,https://doi.org/10.1145/3643834.3661504,,,publishedVersion,Designing Interactive Systems Conference,conference
DCM-06554,Understanding How Parents Deal With the Health Advice They Receive: A Qualitative Study and Implications for the Design of Message-based Health Dissemination Systems for Child Health,10.1145/3643834.3661504,https://openalex.org/W4403576076,2,false,https://orca.cardiff.ac.uk/id/eprint/170203/1/3643834.3661504.pdf,https://orca.cardiff.ac.uk/id/eprint/170203/1/3643834.3661504.pdf,,acceptedVersion,ORCA Online Research @Cardiff (Cardiff University),repository
DCM-06555,Inclusive AI-Driven Music Chatbots for Older Adults,10.1007/978-3-031-91760-8_6,https://openalex.org/W4410855369,1,false,https://doi.org/10.1007/978-3-031-91760-8_6,,,publishedVersion,Lecture notes in computer science,book series
DCM-06557,How to provide information sources and comments in conversational agent response content: The roles of specialists and internet users,10.1016/j.ergon.2026.103890,https://openalex.org/W7124994548,1,false,https://doi.org/10.1016/j.ergon.2026.103890,,,publishedVersion,International Journal of Industrial Ergonomics,journal
