corpus_id,bibliographic_status,document_status,run_id,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,source_pdf_url,license,oa_status,ontology_score,screening_state,download_attempts,validated_local_path,document_manifest
DCM-00988,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.11606/t.8.2024.tde-24012025-144441,10.11606/t.8.2024.tde-24012025-144441,"Impolidez, avaliatividade e desacordo: por um modelo de análise da violência verbal em comentários conversacionais digitais",,Adelmo Cordeiro Galindo,dissertation,,https://doi.org/10.11606/t.8.2024.tde-24012025-144441,,,,0,screening-required,0,,
DCM-00989,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.1017/cbo9781139644082.002,10.1017/cbo9781139644082.002,The Design of Search User Interfaces,2009,,book-chapter,,https://doi.org/10.1017/cbo9781139644082.002,,https://www.cambridge.org/core/terms,,0,screening-required,0,,
DCM-00990,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.48021/978-65-270-8045-9,10.48021/978-65-270-8045-9,"A Voz da Malandragem: Estratégias Conversacionais em Malagueta, Perus e Bacanaço, de João Antônio",2026,T. O. CARMO,edited-book,,https://doi.org/10.48021/978-65-270-8045-9,,,,0,screening-required,0,,
DCM-00991,estudo-unico-descoberto,pdf-integral-validado-local,20260831T003810Z,Crossref,10.22533/at.ed.89518221115,10.22533/at.ed.89518221115,ANÁLISE DA PROPAGANDA ORAL À LUZ DOS ESTUDOS RETÓRICO-CONVERSACIONAIS,2018,Maria Francisca Oliveira Santos Santos,book-chapter,,https://doi.org/10.22533/at.ed.89518221115,,,,0,screening-required,1,library/staging/master-openalex/DCM-00991-OA002-AN-LISE-DA-PROPAGANDA-ORAL-LUZ-DOS-ESTUDOS-RET-RICO-CONVERSACIONA.pdf,data/document-resolution/master/openalex-validated/validated-documents.csv
DCM-00992,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.1007/978-94-010-0421-3_1,10.1007/978-94-010-0421-3_1,Computer-Aided Design of User Interfaces by Example,2002,Henry Lieberman,book-chapter,,https://doi.org/10.1007/978-94-010-0421-3_1,,,,0,screening-required,0,,
DCM-00993,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.1007/1-4020-3304-4_17,10.1007/1-4020-3304-4_17,Analysis and Design of Model-Based User Interfaces,,Pedro J. Molina; Hallvard Trætteberg,book-chapter,,https://doi.org/10.1007/1-4020-3304-4_17,,,,0,screening-required,0,,
DCM-00994,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.1093/oso/9780195075557.003.0017,10.1093/oso/9780195075557.003.0017,The Design of Multidimensional Sound Interfaces,1995,Michael Cohen; Elizabeth M. Wenzel,book-chapter,"<p>Early computer terminals allowed only textual I/O. Because the user read and wrote vectors of character strings, this mode of I/O (character-based user interface, or “CUI”) could be thought of as one-dimensional, 1D. As terminal technology improved, users could manipulate graphical objects (via a graphical user interface, or “GUI”) in 2D. Although the I/O was no longer unidimensional, it was still limited to the planar dimensionality of a CRT or tablet. Now there exist 3D spatial pointers and 3D graphics devices; this latest phase of I/O devices (Blattner, 1992; Blattner and Dannenberg, 1992; Robinett, 1992) approaches the way that people deal with “the real world.” 3D audio (in which the sound has a spatial attribute, originating, virtually or actually, from an arbitrary point with respect to the listener) and more exotic spatial I/O modalities are under development. The evolution of I/O devices can be roughly grouped into generations that also correspond to the number of dimensions. Representative instances of each technology are shown in Table 8-1. This chapter focuses on the italicized entries in the third-generation aural sector. Audio alarms and signals of various types have been with us since long before there were computers, but even though music and visual arts are considered sibling muses, a disparity exists between the exploitation of sound and graphics in interfaces. (Most people think that it would be easier to be hearing- than sight-impaired, even though the incidence of disability-related cultural isolation is higher among the deaf than the blind.) For whatever reasons, the development of user interfaces has historically been focused more on visual modes than aural. This imbalance is especially striking in view of the increasing availability of sound in current technology platforms. Sound is frequently included and utilized to the limits of its availability or affordability in personal computers. However, computer-aided exploitation of audio bandwidth is only beginning to rival that of graphics. General sound capability is slowly being woven into the fabric of applications. Indeed, some of these programs are inherently dependent on sound—voicemail, or voice annotation to electronic mail, teleconferencing, audio archiving—while other applications use sound to complement their underlying functionality. </p>",https://doi.org/10.1093/oso/9780195075557.003.0017,,,,0,screening-required,0,,
DCM-00995,estudo-unico-descoberto,pdf-integral-validado-local,20260831T003810Z,Crossref,10.11606/d.45.2018.tde-20230727-113522,10.11606/d.45.2018.tde-20230727-113522,A detecção de implicaturas conversacionais da ironia em textos de redes sociais através do aprendizado de máquina para português,,Rayssa Küllian Martins,dissertation,,https://doi.org/10.11606/d.45.2018.tde-20230727-113522,,,,0,screening-required,1,library/staging/master-openalex/DCM-00995-OA001-A-detec-o-de-implicaturas-conversacionais-da-ironia-em-textos-de-.pdf,data/document-resolution/master/openalex-validated/validated-documents.csv
DCM-00996,estudo-unico-descoberto,pdf-integral-validado-local,20260831T003810Z,Crossref,10.22456/1679-1916.96590,10.22456/1679-1916.96590,Inovação Pedagógica com Tecnologia: mundos imersivos e agentes conversacionais,2019,Liane Margarida Rockenbach Tarouco,journal-article,"<jats:p>Este artigo aborda a evolução do uso da tecnologia com recurso de inovação pedagógica aprofundando no uso de mundos imersivos como recurso para a criação de laboratórios virtuais. A partir da evolução do uso de tecnologia como suporte para a aprendizagem, são apresentadas soluções que inicialmente usaram CAI – Computer Aided Instruction e evoluíram para a implantação de laboratórios virtuais imersivos e uso de Internet das Coisas.</jats:p>",https://doi.org/10.22456/1679-1916.96590,https://seer.ufrgs.br/renote/article/viewFile/96590/54190,,,0,screening-required,1,library/staging/master/DCM-00996-Inova-o-Pedag-gica-com-Tecnologia-mundos-imersivos-e-agentes-conversacionais.pdf,data/document-resolution/master/validated-documents.csv
DCM-00997,estudo-unico-descoberto,pdf-integral-validado-local,20260831T003810Z,Crossref,10.17771/pucrio.acad.5503,10.17771/pucrio.acad.5503,"A COMPLEXIDADE INTERACIONAL NA CENTRAL DE RESERVAS DE UMA COMPANHIA AÉREA: ENQUADRES, ALINHAMENTOS E SEQÜÊNCIAS CONVERSACIONAIS EM UM CONTEXTO INSTITUCIONAL",,ADRIANA GRAY DA SILVA REIS,dissertation,,https://doi.org/10.17771/pucrio.acad.5503,,,,0,screening-required,1,library/staging/master-openalex/DCM-00997-OA001-A-COMPLEXIDADE-INTERACIONAL-NA-CENTRAL-DE-RESERVAS-DE-UMA-COMPANH.pdf,data/document-resolution/master/openalex-validated/validated-documents.csv
DCM-00998,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.1007/1-4020-3304-4_23,10.1007/1-4020-3304-4_23,Generating Context-Sensitive Multiple Device Interfaces from Design,,Tim Clerckx; Kris Luyten; Karin Coninx,book-chapter,,https://doi.org/10.1007/1-4020-3304-4_23,,,,0,screening-required,0,,
DCM-00999,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.5935/cadernosletras.v18n2p113-129,10.5935/cadernosletras.v18n2p113-129,A relevância do contexto nas investigações conversacionais,2018,Karina De Almeida Rigo,journal-article,,https://doi.org/10.5935/cadernosletras.v18n2p113-129,,,,0,screening-required,0,,
DCM-01000,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.1016/0252-7308(85)90020-0,10.1016/0252-7308(85)90020-0,Design issues in interactive user interfaces,1985,E Bertino,journal-article,,https://doi.org/10.1016/0252-7308(85)90020-0,,https://www.elsevier.com/tdm/userlicense/1.0/; https://www.elsevier.com/legal/tdmrep-license,,0,screening-required,0,,
DCM-01001,estudo-unico-descoberto,pdf-integral-validado-local,20260831T003810Z,Crossref,10.11606/issn.1982-1689.anagrama.2008.35318,10.11606/issn.1982-1689.anagrama.2008.35318,A caracterização do discurso oral por meio de Marcadores Conversacionais,2009,Marília de Toledo Kodic,journal-article,"<jats:p>Partindo da análise de áudio e transcrição do discurso proferido por um falante culto da cidade de São Paulo, o presente artigo tem como objetivo verificar elementos conhecidos na Análise Conversacional como Marcadores Conversacionais. O estudo procura identificar e definir as unidades de conversação encontradas no corpus e demonstrar que, para uma interação oral, são necessários princípios comunicativos em detrimento de princípios meramente sintáticos. É discutido também o papel dos marcadores segundo diversos autores, focalizando nas funções interacional e textual</jats:p>",https://doi.org/10.11606/issn.1982-1689.anagrama.2008.35318,https://www.revistas.usp.br/anagrama/article/download/35318/38038,,,0,screening-required,1,library/staging/master/DCM-01001-A-caracteriza-o-do-discurso-oral-por-meio-de-Marcadores-Conversacionais.pdf,data/document-resolution/master/validated-documents.csv
DCM-01002,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.47749/t/unicamp.2012.896641,10.47749/t/unicamp.2012.896641,Interfaces autoajustáveis em websites,,Vagner Figuerêdo de Santana,dissertation,,https://doi.org/10.47749/t/unicamp.2012.896641,,,,0,screening-required,0,,
DCM-01003,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.4324/9780203366202-19,10.4324/9780203366202-19,Designing Integrated Interfaces that Stimulate Activity,2013,,book-chapter,,https://doi.org/10.4324/9780203366202-19,,,,0,screening-required,0,,
DCM-01004,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.4324/9780203366202-18,10.4324/9780203366202-18,Theoretical Frameworks for Advancing Educational Interfaces,2013,,book-chapter,,https://doi.org/10.4324/9780203366202-18,,,,0,screening-required,0,,
DCM-01005,estudo-unico-descoberto,pdf-integral-validado-local,20260831T003810Z,Crossref,10.30962/ec.v5i0.67,10.30962/ec.v5i0.67,Blogs como espaços de conversação: interações conversacionais na comunidade de blogs insanus,2008,Alex Primo; Ana Maria Reczek Smaniotto,journal-article,"<jats:p>O blog não passa de um diário íntimo na Web? Como conversam os participantes de um blog? A partir dessas questões, este artigo discute a conversação na comunidade de blogs insanus (http://www.insanus.org). Para tanto, busca definições de conversação e compara os procedimentos utilizados para estudá-la em encontros face-a-face e em processos mediados por computador. A partir disso, discute a especificidade da conversação em blogs, revisando recursos tecnológicos que viabilizam tal processo interativo. Finalmente, analisa uma conversação que percorreu vários blogs daquela comunidade.</jats:p>",https://doi.org/10.30962/ec.v5i0.67,http://www.e-compos.org.br/e-compos/article/viewFile/67/67,,,0,screening-required,1,library/staging/master/DCM-01005-Blogs-como-espa-os-de-conversa-o-intera-es-conversacionais-na-comunidade-de-blog.pdf,data/document-resolution/master/validated-documents.csv
DCM-01006,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.1007/978-94-011-4295-3_4,10.1007/978-94-011-4295-3_4,Model-Based Design of User-Interfaces Using Object-Z,1999,Andrew Hussey; David Carrington,book-chapter,,https://doi.org/10.1007/978-94-011-4295-3_4,,,,0,screening-required,0,,
DCM-01007,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.1016/s0920-5489(99)91114-5,10.1016/s0920-5489(99)91114-5,Design standards for effective MCM design,1999,Steven K. Ladd,journal-article,,https://doi.org/10.1016/s0920-5489(99)91114-5,,https://www.elsevier.com/tdm/userlicense/1.0/,,0,screening-required,0,,
DCM-01008,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.1016/0252-7308(84)90055-2,10.1016/0252-7308(84)90055-2,Corporate identity for iconic interface design: The graphic design perspective,1984,Aaron Marcus,journal-article,,https://doi.org/10.1016/0252-7308(84)90055-2,,https://www.elsevier.com/tdm/userlicense/1.0/; https://www.elsevier.com/legal/tdmrep-license,,0,screening-required,0,,
DCM-01009,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.5040/9781350068308.ch-005,10.5040/9781350068308.ch-005,Aesthetic interfaces,2021,,other,,https://doi.org/10.5040/9781350068308.ch-005,,,,0,screening-required,0,,
